	time	open	high	low	close	volume	date	10_ema	55_ema	ADX	SMIH	signal
0	1621499400000.0	39726.75	39843.44	39326.01	39826.97	2698.866014	2021-05-20 08:30:00	39826.97	39826.97	0.0	0.0	flat
1	1621501200000.0	39826.97	39874.98	39000.0	39030.01	2970.659999	2021-05-20 09:00:00	39388.642	39421.24490909091	51.85185185185185	0.0	flat
2	1621503000000.0	39030.0	40200.0	38700.0	39931.2	4672.909147	2021-05-20 09:30:00	39606.74671096345	39597.4479903041	34.54508236975457	0.0	flat
3	1621504800000.0	39932.06	40237.0	39493.2	39920.0	4497.828831	2021-05-20 10:00:00	39709.94971287128	39682.536756954876	27.51827516879752	0.0	flat
4	1621506600000.0	39920.0	40479.79	39561.03	40399.99	4447.462107	2021-05-20 10:30:00	39908.04151193113	39836.64926820599	29.523984536901793	0.0	flat
5	1621508400000.0	40399.99	40486.0	39701.0	39738.41	3346.272911	2021-05-20 11:00:00	39863.982348901714	39818.75218692266	30.957914741634134	0.0	flat
6	1621510200000.0	39746.59	40690.56	39738.4	40475.17	4101.77082	2021-05-20 11:30:00	40011.25402081799	39923.06002671681	34.47011874210519	0.0	flat
7	1621512000000.0	40476.68	41833.71	40086.09	41755.61	6425.582867	2021-05-20 12:00:00	40408.103412608885	40182.32213763695	41.58733034895305	0.0	flat
8	1621513800000.0	41755.61	41975.0	41405.13	41699.99	5697.622787	2021-05-20 12:30:00	40689.17272540091	40376.499392437	47.300938774096	0.0	flat
9	1621515600000.0	41699.99	42451.67	41620.47	42281.81	6355.408401	2021-05-20 13:00:00	41023.71600352457	40599.68861455773	52.37912568212417	0.0	flat
10	1621517400000.0	42281.81	42348.96	41351.13	41713.33	4549.385172	2021-05-20 13:30:00	41164.59552149048	40720.31876329288	53.87603788375473	0.0	flat
11	1621519200000.0	41721.02	42200.0	41223.42	41714.99	5376.75329	2021-05-20 14:00:00	41274.56333096299	40820.76872318292	54.04548234168228	0.0	flat
