	time	open	high	low	close	volume	date	3_ema	25_sma	MACD	SIGNAL	HIST	HIST_ESMA	ADX
0	1618819200000.0	57323.34	57526.81	56750.89	56778.8	4559.232894	2021-04-19 08:00:00	56778.8		0.0	0.0	0.0	0.0	0.0
1	1618822800000.0	56778.8	57098.86	56574.76	56681.9	3806.844848	2021-04-19 09:00:00	56725.505000000005		0.8074999999953434	0.4172083333309274	0.390291666664416	0.0	0.0
2	1618826400000.0	56681.9	56785.5	56120.03	56522.65	4638.640988	2021-04-19 10:00:00	56643.95863787376		2.860329892937443	1.2864566927466483	1.573873200190795	0.0	0.0
3	1618830000000.0	56522.65	57323.99	56462.0	57107.4	3461.991479	2021-04-19 11:00:00	56796.64191831684		-3.9081964997021714	-0.144859560085786	-3.7633369396163854	0.0	0.0
4	1618833600000.0	57107.41	57142.2	56443.27	56515.7	2616.438302	2021-04-19 12:00:00	56715.991134487565		0.8337245178408921	0.07779201014810253	0.7559325076927895	0.0	0.0
5	1618837200000.0	56515.7	56783.36	56002.56	56630.91	4129.633471	2021-04-19 13:00:00	56693.89262500404		2.020064267271664	0.45776698169932833	1.5622972855723356	0.0	0.0
6	1618840800000.0	56630.9	56635.1	55073.39	55439.86	7232.540775	2021-04-19 14:00:00	56391.72113808012		21.989180297059647	4.181765186309154	17.807415110750494	0.0	0.0
7	1618844400000.0	55439.86	55475.3	54221.58	54585.22	6961.912914	2021-04-19 15:00:00	55980.733423145444		50.12506156107702	11.350569678991738	38.77449188208528	0.0	0.0
8	1618848000000.0	54581.82	55554.0	54351.67	54826.99	4996.35731	2021-04-19 16:00:00	55729.71922867449		65.83315095067519	19.139012671646366	46.69413827902882	0.0	0.0
9	1618851600000.0	54826.99	55491.64	54560.53	55369.68	2626.419804	2021-04-19 17:00:00	55654.09076905289		67.16568639354227	25.505220196293273	41.660466197249	0.0	0.0
10	1618855200000.0	55369.68	55826.49	55300.31	55635.03	2181.159165	2021-04-19 18:00:00	55650.196892232016		62.70196105335344	30.121752125583065	32.58020892777038	0.0	0.0
11	1618858800000.0	55635.03	56100.0	55387.25	55930.94	2219.584181	2021-04-19 19:00:00	55706.28885134715		53.11840897087677	32.81536843066179	20.30304054021498	0.0	0.0
12	1618862400000.0	55930.94	56410.0	55750.0	56130.02	2160.199067	2021-04-19 20:00:00	55789.45424652832		41.324156207476335	33.76219254360232	7.5619636638740175	0.0	0.0
13	1618866000000.0	56130.02	56600.0	55678.63	56245.2	1789.107932	2021-04-19 21:00:00	55877.62890611134		29.385050325407065	33.296879530283995	-3.9118292048769305	0.0	100.0
14	1618869600000.0	56245.2	56348.05	55795.95	55993.56	1428.676676	2021-04-19 22:00:00	55899.80007490711		24.806466614463716	32.43050923696628	-7.624042622502564	0.0	100.0
15	1618873200000.0	55993.56	56199.74	55517.45	55633.14	2192.800163	2021-04-19 23:00:00	55849.27905789796		28.498145400721114	32.04375960016585	-3.545614199444735	0.0	73.54861696298462
16	1618876800000.0	55633.14	55792.15	54328.78	54631.29	5959.820842	2021-04-20 00:00:00	55620.27038007688		52.69081833495147	34.00794953385273	18.682868801098742	0.0	75.38710944020973
17	1618880400000.0	54631.29	55378.42	54237.04	54764.12	3262.764215	2021-04-20 01:00:00	55460.28781085051		69.15421687098569	37.25215082979607	31.90206604118962	0.0	76.74319506318619
18	1618891200000.0	54764.13	55350.28	54567.79	55258.63	1818.062278	2021-04-20 04:00:00	55422.79462336521		71.2229934962379	40.30306993710259	30.919923559135313	0.0	77.64313380440082
19	1618894800000.0	55258.64	55486.31	54691.87	54950.04	2658.617538	2021-04-20 05:00:00	55335.25729820934		79.41108735663147	43.728710874630764	35.682376482000706	0.0	75.48526006652075
20	1618898400000.0	54950.04	55189.97	53501.01	53856.35	4276.743236	2021-04-20 06:00:00	55062.329593946364		110.68344530536706	49.461269394078656	61.2221759112884	0.0	76.3597448203288
21	1618902000000.0	53856.36	54431.04	53329.96	54410.57	3889.653608	2021-04-20 07:00:00	54942.37671799359		122.98541679808113	55.62619658492256	67.35922021315858	0.0	77.21856636166996
22	1618905600000.0	54410.57	55313.9	54230.38	55220.29	3227.006177	2021-04-20 08:00:00	54993.41154663073		113.33540897069906	60.37328222808615	52.96212674261292	0.0	71.20295673399895
23	1618909200000.0	55220.3	55433.4	54781.59	54889.16	2858.553356	2021-04-20 09:00:00	54974.30196415407		112.51021960483195	64.58723330211065	47.9229863027213	0.0	65.66753318790948
24	1618912800000.0	54889.15	56239.31	54824.81	55908.52	4372.322489	2021-04-20 10:00:00	55145.29275866287	55596.6388	86.44626432858058	66.32563165247902	20.120632676101565	-451.34604133712855	57.87899585503504
25	1618916400000.0	55908.52	56419.13	55680.64	56266.83	2774.06053	2021-04-20 11:00:00	55350.32011503276	55576.16	55.35875198319991	65.46636000502994	-10.107608021830032	-225.83988496724487	51.5832819188923
26	1618920000000.0	56266.83	56290.31	55604.73	55801.14	2705.944348	2021-04-20 12:00:00	55432.652554627624	55540.9296	40.55773212146596	63.541364310121196	-22.983632188655235	-108.27704537237878	46.00895004753326
27	1618923600000.0	55801.13	56320.55	55693.69	56317.99	2723.866998	2021-04-20 13:00:00	55594.20929961907	55532.7432	14.944402098990395	59.83302128328112	-44.888619184290725	61.46609961907234	41.3345454258968
28	1618927200000.0	56318.0	56455.93	55200.0	55336.14	4285.544393	2021-04-20 14:00:00	55547.14787223476	55461.8928	18.255012673434976	56.69725834079327	-38.44224566735829	85.2550722347587	38.25955892946414
29	1618930800000.0	55336.14	55567.87	54649.58	55323.19	3870.66336	2021-04-20 15:00:00	55506.32909494517	55414.1924	21.256033443060005	54.05315196251218	-32.79711851945218	92.13669494516944	36.78044065631767
30	1618934400000.0	55323.18	55798.28	55099.63	55784.86	3801.773065	2021-04-20 16:00:00	55557.07193777146	55380.3504	11.711809896500199	50.92581220173254	-39.21400230523234	176.72153777146013	34.760583273377286
31	1618938000000.0	55784.86	55935.0	55465.15	55871.72	2436.867565	2021-04-20 17:00:00	55614.37386513432	55397.624800000005	1.342545554129174	47.297485802184404	-45.95494024805523	216.7490651343178	32.553114753104225
32	1618941600000.0	55871.72	56500.0	55707.69	56253.81	3648.740969	2021-04-20 18:00:00	55730.78988253381	55464.3684	-17.457220553762454	42.599652267880906	-60.05687282164336	266.4214825338131	30.015341649413603
33	1618945200000.0	56254.98	56782.0	56176.02	56572.44	3592.81465	2021-04-20 19:00:00	55883.98395355156	55534.186400000006	-41.65320790089754	36.53596751682287	-78.1891754177204	349.79755355155066	28.4019579899198
34	1618948800000.0	56572.44	57076.24	56347.84	56725.0	3872.758905	2021-04-20 20:00:00	56037.03228603797	55588.3992	-65.88655968777312	29.219149620680422	-95.10570930845354	448.6330860379676	27.611963856280287
35	1618952400000.0	56725.01	57020.77	56424.25	57020.76	2491.567737	2021-04-20 21:00:00	56216.022313914735	55643.828400000006	-93.90748050904949	20.48374236001921	-114.3912228690687	572.1939139147289	26.90445006607941
36	1618956000000.0	57020.76	57050.0	56090.0	56380.0	2308.190909	2021-04-20 22:00:00	56245.85422655414	55661.7908	-99.59532586218847	12.01898086175797	-111.61430672394644	584.0634265541375	25.201583342057837
37	1618959600000.0	56380.0	56573.54	56177.97	56425.0	1908.144983	2021-04-20 23:00:00	56278.442083605274	55673.59	-105.02769617045851	3.817006453864244	-108.84470262432275	604.8520836052776	23.667332031919017
38	1618963200000.0	56425.0	56757.91	55582.08	55679.99	3033.111594	2021-04-21 00:00:00	56169.58916451455	55650.9816	-88.48645526151813	-2.615349543874414	-85.87110571764372	518.6075645145538	22.73930165316853
39	1618966800000.0	55679.99	56205.88	55332.96	56044.2	3248.115675	2021-04-21 01:00:00	56146.783686731804	55653.0072	-84.05659570899297	-8.261553699765116	-75.79504200922786	493.77648673180374	22.44398326440028
40	1618970400000.0	56044.75	56300.0	55894.95	56109.73	1681.65384	2021-04-21 02:00:00	56140.04485213767	55672.0708	-81.6297299455764	-13.323702329210471	-68.30602761636592	467.97405213766615	21.878616443721654
