	time	open	high	low	close	volume	date	10_ema	55_ema	ADX	SMIH	signal
0	1633068000000.0	43850.32	44048.56	43729.0	43995.09	1537.37407	2021-10-01 06:00:00	43995.09	43995.09	0.0	0.0	00
1	1633071600000.0	43995.1	44836.0	43916.26	44788.42	4789.79567	2021-10-01 07:00:00	44431.42149999999	44398.96709090908	51.85185185185185	0.0	00
2	1633075200000.0	44788.42	44999.0	44700.0	44945.8	2953.83714	2021-10-01 08:00:00	44638.198239202655	44587.912441604225	69.10420475319926	0.0	00
3	1633078800000.0	44945.81	45000.0	44767.29	44906.0	1809.73051	2021-10-01 09:00:00	44726.42698762376	44671.82349227903	77.70674784373415	0.0	00
4	1633082400000.0	44905.99	47786.7	44829.4	47081.46	12252.88214	2021-10-01 10:00:00	45402.492914452654	45189.4253527586	82.84943944370718	0.0	00
5	1633086000000.0	47081.47	47659.32	46957.48	47488.08	4669.20863	2021-10-01 11:00:00	45944.191920539946	45608.190779407676	86.26228250208031	0.0	00
6	1633089600000.0	47488.07	47886.11	47170.23	47214.37	5156.10571	2021-10-01 12:00:00	46250.25381340926	45863.42011883831	88.68672103427572	0.0	00
7	1633093200000.0	47214.37	47379.99	46957.14	46980.94	2595.13896	2021-10-01 13:00:00	46416.48844223458	46021.522526744884	88.41393452013088	0.0	00
8	1633096800000.0	46980.94	47347.53	46763.68	47130.0	3479.2201	2021-10-01 14:00:00	46571.72358839032	46163.34612207967	86.56118416695327	0.0	00
9	1633100400000.0	47133.67	47490.71	47039.94	47363.68	3517.29015	2021-10-01 15:00:00	46738.07891505291	46303.953949189214	85.24148392372769	0.0	00
10	1633104000000.0	47363.69	47850.0	47232.98	47559.88	2884.13063	2021-10-01 16:00:00	46905.9626025983	46439.99643853105	84.49588127146448	0.0	00
11	1633107600000.0	47566.0	47700.0	47397.01	47617.29	1433.33933	2021-10-01 17:00:00	47048.08451472555	46558.88908030469	83.88070228084968	0.0	00
